Behaviour,Actor,Receiver,T_start,T_stop
W,0x0009,NA,2020-02-11T12:12:20.921689Z,2020-02-11T12:12:24.171623Z
SG,0x0009,NA,2020-02-11T12:12:30.921740Z,2020-02-11T12:12:39.296710Z
SG,0x0009,NA,2020-02-11T12:12:44.296739Z,2020-02-11T12:12:51.046778Z
W,0x0009,NA,2020-02-11T12:12:56.921819Z,2020-02-11T12:13:01.046832Z
W,0x0009,NA,2020-02-11T12:13:05.296851Z,2020-02-11T12:13:06.671925Z
W,0x0009,NA,2020-02-11T12:13:39.297029Z,2020-02-11T12:13:46.422059Z
W,0x0009,NA,2020-02-11T12:13:51.297077Z,2020-02-11T12:14:06.922185Z
W,0x0009,NA,2020-02-11T12:15:27.422685Z,2020-02-11T12:15:31.547707Z
AC,0x0009,0x0003,2020-02-11T12:16:07.547896Z,2020-02-11T12:16:10.172917Z
W,0x0009,NA,2020-02-11T12:16:15.172861Z,2020-02-11T12:16:18.297969Z
AC,0x0009,0x0026,2020-02-11T12:16:37.173055Z,2020-02-11T12:16:38.673062Z
R,0x0009,NA,2020-02-11T12:17:44.548357Z,2020-02-11T12:17:50.798480Z
AC,0x0009,0x002E,2020-02-11T12:19:02.423788Z,2020-02-11T12:19:05.548802Z
T,0x0009,0x002E,2020-02-11T12:19:52.174111Z,2020-02-11T12:20:05.174190Z
T,0x0009,0x0017,2020-02-11T12:20:50.799366Z,2020-02-11T12:20:55.799423Z
CR,0x0009,0x0017,2020-02-11T12:20:59.924480Z,2020-02-11T12:21:32.924580Z
AC,0x0009,0x003A,2020-02-11T12:22:15.799901Z,2020-02-11T12:22:16.424850Z
W,0x0009,NA,2020-02-11T12:22:54.675110Z,2020-02-11T12:22:59.175124Z
R,0x000A,NA,2020-02-11T11:54:08.666119Z,2020-02-11T11:54:23.665921Z
R,0x000A,NA,2020-02-11T11:56:10.416489Z,2020-02-11T11:56:30.916564Z
R,0x000A,NA,2020-02-11T11:56:35.666639Z,2020-02-11T11:56:58.166769Z
W,0x000A,NA,2020-02-11T11:57:11.666794Z,2020-02-11T11:57:17.916833Z
W,0x000A,NA,2020-02-11T11:59:16.417524Z,2020-02-11T11:59:24.042508Z
AC,0x000A,0x002B,2020-02-11T11:59:24.667562Z,2020-02-11T11:59:26.042521Z
AC,0x000A,0x002F,2020-02-11T11:59:54.167714Z,2020-02-11T11:59:55.292672Z
W,0x000A,NA,2020-02-11T11:59:56.668015Z,2020-02-11T11:59:58.668019Z
W,0x000A,NA,2020-02-11T12:00:17.417765Z,2020-02-11T12:00:21.417792Z
SG,0x000A,NA,2020-02-11T12:00:36.292947Z,2020-02-11T12:00:41.667954Z
SG,0x000A,NA,2020-02-11T12:00:43.542911Z,2020-02-11T12:00:52.668017Z
R,0x000A,NA,2020-02-11T12:01:47.168310Z,2020-02-11T12:02:20.418470Z
SG,0x000A,NA,2020-02-11T12:02:28.293431Z,2020-02-11T12:02:29.168529Z
SG,0x000A,NA,2020-02-11T12:02:32.668547Z,2020-02-11T12:02:37.043480Z
SG,0x000A,NA,2020-02-11T12:02:42.668834Z,2020-02-11T12:06:56.169944Z
AC,0x000A,0x0039,2020-02-11T12:07:09.920018Z,2020-02-11T12:07:10.920021Z
SG,0x000A,NA,2020-02-11T12:07:31.545045Z,2020-02-11T12:07:43.420111Z
SG,0x000A,NA,2020-02-11T12:13:44.422075Z,2020-02-11T12:14:21.172328Z
SG,0x000A,NA,2020-02-11T12:14:28.297309Z,2020-02-11T12:14:52.922504Z
SG,0x000A,NA,2020-02-11T12:15:07.297519Z,2020-02-11T12:15:23.422578Z
SG,0x000A,NA,2020-02-11T12:17:53.673475Z,2020-02-11T12:18:09.673559Z
R,0x000A,NA,2020-02-11T12:18:09.673559Z,2020-02-11T12:18:36.798662Z
W,0x000A,NA,2020-02-11T12:19:19.673935Z,2020-02-11T12:19:21.923887Z
R,0x000A,NA,2020-02-11T12:20:14.924164Z,2020-02-11T12:20:51.174436Z
SG,0x000B,NA,2020-02-11T11:54:01.290738Z,2020-02-11T11:54:02.790806Z
SG,0x000B,NA,2020-02-11T11:54:07.290768Z,2020-02-11T11:54:10.665774Z
SG,0x000B,NA,2020-02-11T11:54:31.040890Z,2020-02-11T11:54:45.166024Z
SG,0x000B,NA,2020-02-11T11:54:52.291083Z,2020-02-11T11:55:35.541253Z
SG,0x000B,NA,2020-02-11T11:55:41.541278Z,2020-02-11T11:55:56.416348Z
AC,0x000B,0x0031,2020-02-11T11:55:57.416357Z,2020-02-11T11:56:00.166453Z
SG,0x000B,NA,2020-02-11T11:56:07.541414Z,2020-02-11T11:56:17.541485Z
R,0x000B,NA,2020-02-11T11:56:27.166592Z,2020-02-11T11:56:30.166601Z
AC,0x000B,0x002F,2020-02-11T11:56:40.666657Z,2020-02-11T11:56:43.041678Z
R,0x000B,NA,2020-02-11T11:58:21.542148Z,2020-02-11T11:58:45.667347Z
AC,0x000B,0x003E,2020-02-11T11:58:54.292393Z,2020-02-11T11:59:00.167418Z
W,0x000B,NA,2020-02-11T12:02:07.918366Z,2020-02-11T12:02:11.668439Z
AC,0x000B,0x0012,2020-02-11T12:02:12.293384Z,2020-02-11T12:02:13.418374Z
W,0x000B,NA,2020-02-11T12:02:24.668447Z,2020-02-11T12:02:30.043476Z
W,0x000B,NA,2020-02-11T12:02:38.668580Z,2020-02-11T12:02:45.668607Z
AC,0x000B,0x003B,2020-02-11T12:02:55.418606Z,2020-02-11T12:03:00.543628Z
W,0x000B,NA,2020-02-11T12:03:25.793827Z,2020-02-11T12:03:29.293788Z
SG,0x000B,NA,2020-02-11T12:05:05.544284Z,2020-02-11T12:05:16.794349Z
R,0x000B,NA,2020-02-11T12:05:50.669596Z,2020-02-11T12:06:06.544617Z
AC,0x000B,0x0032,2020-02-11T12:06:32.044744Z,2020-02-11T12:06:32.169805Z
R,0x000B,NA,2020-02-11T12:07:28.670105Z,2020-02-11T12:07:34.920145Z
R,0x000B,NA,2020-02-11T12:07:39.670185Z,2020-02-11T12:08:17.045322Z
R,0x000B,NA,2020-02-11T12:08:26.670417Z,2020-02-11T12:09:31.295760Z
SG,0x000B,NA,2020-02-11T12:09:46.420859Z,2020-02-11T12:09:48.670860Z
W,0x000B,NA,2020-02-11T12:10:44.296161Z,2020-02-11T12:10:45.546102Z
AC,0x000B,0x002F,2020-02-11T12:11:12.921238Z,2020-02-11T12:11:13.296308Z
SG,0x000B,NA,2020-02-11T12:12:09.671550Z,2020-02-11T12:12:18.796604Z
W,0x000B,NA,2020-02-11T12:13:11.421942Z,2020-02-11T12:13:15.171972Z
SG,0x000B,NA,2020-02-11T12:13:20.421989Z,2020-02-11T12:13:21.922013Z
SG,0x000B,NA,2020-02-11T12:13:23.047009Z,2020-02-11T12:13:25.796959Z
R,0x000B,NA,2020-02-11T12:13:31.547048Z,2020-02-11T12:15:04.672563Z
AC,0x000B,0x0039,2020-02-11T12:15:05.797610Z,2020-02-11T12:15:06.547810Z
R,0x000B,NA,2020-02-11T12:15:24.297666Z,2020-02-11T12:16:17.922948Z
R,0x000B,NA,2020-02-11T12:16:30.298036Z,2020-02-11T12:16:41.173089Z
AC,0x000B,0x001E,2020-02-11T12:16:42.673085Z,2020-02-11T12:16:43.673093Z
SG,0x000B,NA,2020-02-11T12:16:52.673149Z,2020-02-11T12:16:55.298147Z
W,0x000B,NA,2020-02-11T12:16:56.423184Z,2020-02-11T12:17:01.798188Z
AC,0x000B,0x0028,2020-02-11T12:17:33.673356Z,2020-02-11T12:17:34.798305Z
W,0x000B,NA,2020-02-11T12:17:42.048340Z,2020-02-11T12:17:45.173434Z
W,0x000B,NA,2020-02-11T12:18:00.423505Z,2020-02-11T12:18:09.048497Z
SG,0x000B,NA,2020-02-11T12:18:29.548595Z,2020-02-11T12:19:28.298990Z
SG,0x000B,NA,2020-02-11T12:19:44.799069Z,2020-02-11T12:20:44.549346Z
SG,0x000B,NA,2020-02-11T12:20:45.674353Z,2020-02-11T12:21:03.549433Z
SG,0x000B,NA,2020-02-11T12:21:19.924583Z,2020-02-11T12:21:50.175049Z
SG,0x000B,NA,2020-02-11T12:21:56.424775Z,2020-02-11T12:22:06.799851Z
SG,0x000B,NA,2020-02-11T12:22:54.800107Z,2020-02-11T12:23:56.550438Z
W,0x000C,NA,2020-02-11T11:54:09.290834Z,2020-02-11T11:54:10.790794Z
W,0x000C,NA,2020-02-11T11:55:01.666118Z,2020-02-11T11:55:04.166139Z
SG,0x000C,NA,2020-02-11T11:55:04.541076Z,2020-02-11T11:55:07.541092Z
SG,0x000C,NA,2020-02-11T11:56:09.166486Z,2020-02-11T11:56:15.291529Z
AC,0x000C,0x003D,2020-02-11T11:56:57.666749Z,2020-02-11T11:57:00.666775Z
W,0x000C,NA,2020-02-11T11:57:51.292058Z,2020-02-11T11:57:55.292075Z
W,0x000C,NA,2020-02-11T11:57:58.042027Z,2020-02-11T11:57:58.917026Z
AC,0x000C,0x0010,2020-02-11T11:57:59.292102Z,2020-02-11T11:57:59.792111Z
W,0x000C,NA,2020-02-11T11:58:00.792133Z,2020-02-11T11:58:07.417054Z
W,0x000C,NA,2020-02-11T11:59:01.917629Z,2020-02-11T11:59:13.042502Z
AC,0x000C,0x002E,2020-02-11T11:59:35.667618Z,2020-02-11T11:59:36.042566Z
AC,0x000C,0x0023,2020-02-11T12:00:45.417912Z,2020-02-11T12:00:48.792985Z
W,0x000C,NA,2020-02-11T12:00:56.668028Z,2020-02-11T12:01:03.668075Z
AC,0x000C,0x000B,2020-02-11T12:01:24.293205Z,2020-02-11T12:01:25.168193Z
SG,0x000C,NA,2020-02-11T12:01:29.918456Z,2020-02-11T12:01:33.293238Z
SG,0x000C,NA,2020-02-11T12:01:34.418286Z,2020-02-11T12:01:37.168254Z
AC,0x000C,0x003A,2020-02-11T12:02:02.043315Z,2020-02-11T12:02:02.918376Z
W,0x000C,NA,2020-02-11T12:02:05.543325Z,2020-02-11T12:02:12.043383Z
AC,0x000C,0x0037,2020-02-11T12:02:12.793439Z,2020-02-11T12:02:13.293440Z
SG,0x000C,NA,2020-02-11T12:02:38.918497Z,2020-02-11T12:02:44.668599Z
W,0x000C,NA,2020-02-11T12:02:52.418890Z,2020-02-11T12:02:57.418619Z
R,0x000C,NA,2020-02-11T12:03:24.668821Z,2020-02-11T12:03:27.918781Z
SG,0x000C,NA,2020-02-11T12:03:34.793871Z,2020-02-11T12:03:40.793875Z
W,0x000C,NA,2020-02-11T12:03:43.418844Z,2020-02-11T12:03:45.793923Z
W,0x000C,NA,2020-02-11T12:03:48.169181Z,2020-02-11T12:03:52.418963Z
W,0x000C,NA,2020-02-11T12:04:18.544049Z,2020-02-11T12:04:50.669274Z
SG,0x000C,NA,2020-02-11T12:05:11.419354Z,2020-02-11T12:05:14.419369Z
SG,0x000C,NA,2020-02-11T12:05:25.794455Z,2020-02-11T12:05:30.044416Z
W,0x000C,NA,2020-02-11T12:05:35.044479Z,2020-02-11T12:05:37.294525Z
AC,0x000C,0x0005,2020-02-11T12:05:55.919615Z,2020-02-11T12:05:57.294571Z
AC,0x000C,0x0042,2020-02-11T12:10:12.420989Z,2020-02-11T12:10:14.170943Z
W,0x000C,NA,2020-02-11T12:10:15.671273Z,2020-02-11T12:10:16.796003Z
W,0x000C,NA,2020-02-11T12:10:19.420962Z,2020-02-11T12:10:27.671072Z
W,0x000C,NA,2020-02-11T12:10:52.921118Z,2020-02-11T12:10:57.796166Z
R,0x000C,NA,2020-02-11T12:12:11.046538Z,2020-02-11T12:12:24.671746Z
W,0x000C,NA,2020-02-11T12:12:57.046857Z,2020-02-11T12:13:00.546885Z
AC,0x000C,0x0045,2020-02-11T12:13:01.046832Z,2020-02-11T12:13:01.547074Z
W,0x000C,NA,2020-02-11T12:13:11.921945Z,2020-02-11T12:13:20.921991Z
W,0x000C,NA,2020-02-11T12:14:26.797303Z,2020-02-11T12:14:30.797322Z
W,0x000C,NA,2020-02-11T12:14:35.047357Z,2020-02-11T12:14:46.047421Z
W,0x000C,NA,2020-02-11T12:14:51.047463Z,2020-02-11T12:14:55.172460Z
W,0x000C,NA,2020-02-11T12:15:22.172651Z,2020-02-11T12:15:36.547659Z
W,0x000C,NA,2020-02-11T12:15:40.172746Z,2020-02-11T12:15:45.047717Z
SG,0x000C,NA,2020-02-11T12:16:24.922923Z,2020-02-11T12:16:50.298119Z
AC,0x000C,0x0043,2020-02-11T12:16:56.173160Z,2020-02-11T12:16:56.423184Z
AC,0x000C,0x0007,2020-02-11T12:17:26.548324Z,2020-02-11T12:17:27.923337Z
AC,0x000C,0x0023,2020-02-11T12:18:08.798557Z,2020-02-11T12:18:10.673560Z
AC,0x000C,0x0037,2020-02-11T12:18:25.673653Z,2020-02-11T12:18:30.173666Z
SG,0x000C,NA,2020-02-11T12:18:33.548631Z,2020-02-11T12:18:41.548642Z
W,0x000C,NA,2020-02-11T12:19:08.299205Z,2020-02-11T12:19:09.798879Z
AC,0x000C,0x0043,2020-02-11T12:21:32.049696Z,2020-02-11T12:21:32.674649Z
W,0x000C,NA,2020-02-11T12:22:02.174820Z,2020-02-11T12:22:05.799789Z
W,0x000C,NA,2020-02-11T12:22:40.049937Z,2020-02-11T12:22:43.549956Z
W,0x000C,NA,2020-02-11T12:23:24.050206Z,2020-02-11T12:23:28.800306Z
SG,0x000C,NA,2020-02-11T12:23:41.175345Z,2020-02-11T12:23:46.925315Z
R,0x000D,NA,2020-02-11T11:56:08.666492Z,2020-02-11T11:56:14.666517Z
R,0x000D,NA,2020-02-11T11:56:18.791501Z,2020-02-11T11:56:56.541697Z
SG,0x000D,NA,2020-02-11T11:58:05.042078Z,2020-02-11T11:58:16.292133Z
SG,0x000D,NA,2020-02-11T11:58:19.667212Z,2020-02-11T11:58:36.792302Z
W,0x000D,NA,2020-02-11T11:59:24.792568Z,2020-02-11T11:59:27.917578Z
R,0x000D,NA,2020-02-11T12:00:11.542739Z,2020-02-11T12:01:00.418063Z
TB,0x000D,NA,2020-02-11T12:01:36.918258Z,2020-02-11T12:01:44.918229Z
R,0x000D,NA,2020-02-11T12:02:32.043480Z,2020-02-11T12:02:49.793629Z
TB,0x000D,NA,2020-02-11T12:03:00.418634Z,2020-02-11T12:03:16.043706Z
R,0x000D,NA,2020-02-11T12:04:01.669016Z,2020-02-11T12:05:28.544407Z
TB,0x000D,NA,2020-02-11T12:06:00.794645Z,2020-02-11T12:06:13.919654Z
AC,0x000D,0x0006,2020-02-11T12:07:00.294964Z,2020-02-11T12:07:03.794968Z
SG,0x000D,NA,2020-02-11T12:07:51.670473Z,2020-02-11T12:08:07.295323Z
TB,0x000D,NA,2020-02-11T12:08:26.545344Z,2020-02-11T12:08:31.670381Z
TB,0x000D,NA,2020-02-11T12:08:41.795510Z,2020-02-11T12:08:48.295533Z
AC,0x000D,0x001B,2020-02-11T12:09:59.920925Z,2020-02-11T12:10:06.420910Z
R,0x000D,NA,2020-02-11T12:10:37.046033Z,2020-02-11T12:10:41.921071Z
R,0x000D,NA,2020-02-11T12:10:54.921150Z,2020-02-11T12:11:05.171220Z
R,0x000D,NA,2020-02-11T12:11:11.796228Z,2020-02-11T12:12:02.796533Z
R,0x000D,NA,2020-02-11T12:12:08.921854Z,2020-02-11T12:12:36.171685Z
R,0x000D,NA,2020-02-11T12:13:51.047106Z,2020-02-11T12:14:06.047185Z
R,0x000D,NA,2020-02-11T12:14:32.297463Z,2020-02-11T12:15:15.547619Z
R,0x000D,NA,2020-02-11T12:16:46.048048Z,2020-02-11T12:17:16.298261Z
W,0x000D,NA,2020-02-11T12:19:11.298853Z,2020-02-11T12:19:24.048887Z
R,0x000D,NA,2020-02-11T12:21:53.424721Z,2020-02-11T12:22:07.174834Z
R,0x000E,NA,2020-02-11T11:54:07.415765Z,2020-02-11T11:54:33.290890Z
CR,0x000E,NA,2020-02-11T11:54:33.915977Z,2020-02-11T11:54:36.915997Z
CR,0x000E,0x002C,2020-02-11T11:55:14.541140Z,2020-02-11T11:55:22.041165Z
CR,0x000E,0x001F,2020-02-11T11:55:45.416292Z,2020-02-11T11:55:52.666407Z
SG,0x000E,NA,2020-02-11T11:57:11.041835Z,2020-02-11T11:57:18.291876Z
R,0x000E,NA,2020-02-11T11:59:51.917706Z,2020-02-11T12:00:00.667756Z
R,0x000E,NA,2020-02-11T12:00:05.792773Z,2020-02-11T12:00:27.167893Z
SG,0x000E,NA,2020-02-11T12:02:03.168396Z,2020-02-11T12:02:28.043457Z
AC,0x000E,0x0006,2020-02-11T12:02:48.043571Z,2020-02-11T12:02:48.168630Z
AC,0x000E,0x0015,2020-02-11T12:19:51.299097Z,2020-02-11T12:19:55.299134Z
SG,0x000E,NA,2020-02-11T12:20:08.674205Z,2020-02-11T12:20:18.674251Z
AC,0x000E,0x003E,2020-02-11T12:20:29.549256Z,2020-02-11T12:20:30.674254Z
AC,0x000E,0x0029,2020-02-11T12:20:36.549350Z,2020-02-11T12:20:36.799301Z
SG,0x000E,NA,2020-02-11T12:21:11.799550Z,2020-02-11T12:21:23.924601Z
SG,0x000E,NA,2020-02-11T12:21:27.674627Z,2020-02-11T12:21:34.299614Z
W,0x000F,NA,2020-02-11T12:02:57.293674Z,2020-02-11T12:03:07.793727Z
SG,0x000F,NA,2020-02-11T12:04:10.669060Z,2020-02-11T12:04:22.544058Z
R,0x000F,NA,2020-02-11T12:05:55.794608Z,2020-02-11T12:06:30.669811Z
R,0x000F,NA,2020-02-11T12:06:47.919900Z,2020-02-11T12:06:50.794901Z
R,0x000F,NA,2020-02-11T12:07:03.044977Z,2020-02-11T12:07:13.295026Z
R,0x000F,NA,2020-02-11T12:07:24.170082Z,2020-02-11T12:07:28.545046Z
SG,0x000F,NA,2020-02-11T12:07:30.045034Z,2020-02-11T12:07:32.670429Z
SG,0x000F,NA,2020-02-11T12:08:09.670343Z,2020-02-11T12:08:14.545281Z
R,0x000F,NA,2020-02-11T12:08:29.795433Z,2020-02-11T12:09:25.420664Z
R,0x000F,NA,2020-02-11T12:09:42.545734Z,2020-02-11T12:09:54.045840Z
R,0x000F,NA,2020-02-11T12:10:15.170997Z,2020-02-11T12:10:31.920998Z
W,0x0010,NA,2020-02-11T11:54:29.666234Z,2020-02-11T11:54:34.165970Z
W,0x0010,NA,2020-02-11T11:54:43.791015Z,2020-02-11T11:54:47.290992Z
AC,0x0010,0x002B,2020-02-11T11:54:56.916091Z,2020-02-11T11:54:57.166093Z
W,0x0010,NA,2020-02-11T11:55:00.541055Z,2020-02-11T11:55:02.541076Z
W,0x0010,NA,2020-02-11T11:55:13.291107Z,2020-02-11T11:55:15.416103Z
SG,0x0010,NA,2020-02-11T11:55:28.166214Z,2020-02-11T11:55:36.291315Z
AC,0x0010,0x0012,2020-02-11T11:56:01.666467Z,2020-02-11T11:56:02.416751Z
W,0x0010,NA,2020-02-11T11:56:13.416437Z,2020-02-11T11:56:17.166542Z
AC,0x0010,0x0025,2020-02-11T11:56:49.916727Z,2020-02-11T11:56:51.291722Z
SG,0x0010,NA,2020-02-11T11:57:00.791783Z,2020-02-11T11:57:03.666795Z
W,0x0010,NA,2020-02-11T11:57:10.791839Z,2020-02-11T11:57:13.166837Z
T,0x0010,0x002F,2020-02-11T11:57:14.541806Z,2020-02-11T11:57:41.791997Z
W,0x0010,NA,2020-02-11T11:58:20.292209Z,2020-02-11T11:58:22.167165Z
W,0x0010,NA,2020-02-11T12:00:57.668035Z,2020-02-11T12:01:03.793081Z
W,0x0010,NA,2020-02-11T12:01:10.418065Z,2020-02-11T12:01:19.918166Z
AC,0x0010,0x0038,2020-02-11T12:01:52.668618Z,2020-02-11T12:01:54.168339Z
W,0x0010,NA,2020-02-11T12:02:17.918756Z,2020-02-11T12:02:21.293493Z
W,0x0010,NA,2020-02-11T12:02:44.543542Z,2020-02-11T12:02:54.293662Z
W,0x0010,NA,2020-02-11T12:03:43.793923Z,2020-02-11T12:03:49.418878Z
SG,0x0010,NA,2020-02-11T12:03:59.793992Z,2020-02-11T12:04:15.669091Z
AC,0x0010,0x000B,2020-02-11T12:04:57.669299Z,2020-02-11T12:04:58.669237Z
R,0x0010,NA,2020-02-11T12:05:04.919313Z,2020-02-11T12:05:11.169339Z
R,0x0010,NA,2020-02-11T12:05:18.419367Z,2020-02-11T12:06:05.169674Z
AC,0x0010,0x0002,2020-02-11T12:06:30.169794Z,2020-02-11T12:06:31.169810Z
AC,0x0010,0x0003,2020-02-11T12:06:35.919775Z,2020-02-11T12:06:36.294827Z
W,0x0010,NA,2020-02-11T12:07:28.545046Z,2020-02-11T12:07:30.545056Z
W,0x0011,NA,2020-02-11T11:54:36.416003Z,2020-02-11T11:54:47.915982Z
R,0x0011,NA,2020-02-11T11:56:50.416657Z,2020-02-11T11:57:10.166828Z
AC,0x0011,0x0037,2020-02-11T11:57:21.541808Z,2020-02-11T11:57:22.416898Z
AC,0x0011,0x0022,2020-02-11T11:57:24.791914Z,2020-02-11T11:57:25.166903Z
W,0x0011,NA,2020-02-11T11:58:14.542118Z,2020-02-11T11:58:27.917247Z
W,0x0011,NA,2020-02-11T11:58:29.542190Z,2020-02-11T11:58:36.167247Z
W,0x0011,NA,2020-02-11T11:59:11.417433Z,2020-02-11T11:59:21.167538Z
W,0x0011,NA,2020-02-11T11:59:26.167570Z,2020-02-11T11:59:29.542518Z
W,0x0011,NA,2020-02-11T11:59:39.167627Z,2020-02-11T11:59:48.917680Z
W,0x0011,NA,2020-02-11T12:00:19.542783Z,2020-02-11T12:00:37.792888Z
W,0x0011,NA,2020-02-11T12:02:01.793334Z,2020-02-11T12:02:15.043445Z
R,0x0011,NA,2020-02-11T12:03:03.293701Z,2020-02-11T12:04:07.294047Z
R,0x0011,NA,2020-02-11T12:04:18.044039Z,2020-02-11T12:04:33.794139Z
R,0x0011,NA,2020-02-11T12:04:45.044243Z,2020-02-11T12:05:02.419262Z
W,0x0011,NA,2020-02-11T12:05:48.294584Z,2020-02-11T12:05:54.419602Z
SG,0x0011,NA,2020-02-11T12:06:16.669655Z,2020-02-11T12:06:20.544699Z
AC,0x0011,0x0044,2020-02-11T12:06:39.169851Z,2020-02-11T12:06:39.669860Z
W,0x0011,NA,2020-02-11T12:06:46.669884Z,2020-02-11T12:06:49.544846Z
AC,0x0011,0x002E,2020-02-11T12:06:49.794911Z,2020-02-11T12:06:50.044841Z
AC,0x0011,0x0014,2020-02-11T12:07:04.669984Z,2020-02-11T12:07:04.919944Z
W,0x0011,NA,2020-02-11T12:07:06.669998Z,2020-02-11T12:07:08.294953Z
AC,0x0011,0x0037,2020-02-11T12:07:21.045068Z,2020-02-11T12:07:21.295077Z
W,0x0011,NA,2020-02-11T12:09:31.170777Z,2020-02-11T12:09:34.545719Z
W,0x0011,NA,2020-02-11T12:10:13.670990Z,2020-02-11T12:10:21.920979Z
AC,0x0011,0x0022,2020-02-11T12:10:22.545948Z,2020-02-11T12:10:22.796040Z
W,0x0011,NA,2020-02-11T12:11:20.671371Z,2020-02-11T12:11:24.296309Z
W,0x0011,NA,2020-02-11T12:13:16.546926Z,2020-02-11T12:13:21.922013Z
AC,0x0011,0x0045,2020-02-11T12:14:12.047303Z,2020-02-11T12:14:15.047298Z
W,0x0011,NA,2020-02-11T12:14:41.422380Z,2020-02-11T12:14:49.922419Z
W,0x0011,NA,2020-02-11T12:14:51.422437Z,2020-02-11T12:14:55.547480Z
W,0x0011,NA,2020-02-11T12:15:12.297592Z,2020-02-11T12:15:15.422616Z
W,0x0011,NA,2020-02-11T12:15:18.797873Z,2020-02-11T12:15:25.922671Z
W,0x0011,NA,2020-02-11T12:16:21.422915Z,2020-02-11T12:16:25.423007Z
W,0x0011,NA,2020-02-11T12:16:26.922932Z,2020-02-11T12:16:30.548016Z
W,0x0011,NA,2020-02-11T12:16:39.173076Z,2020-02-11T12:16:45.548038Z
W,0x0011,NA,2020-02-11T12:16:51.298137Z,2020-02-11T12:16:53.923225Z
SG,0x0011,NA,2020-02-11T12:17:29.673353Z,2020-02-11T12:17:46.048350Z
AC,0x0011,0x0038,2020-02-11T12:18:10.798565Z,2020-02-11T12:18:12.298581Z
W,0x0011,NA,2020-02-11T12:18:18.298545Z,2020-02-11T12:18:24.923568Z
W,0x0011,NA,2020-02-11T12:18:35.298697Z,2020-02-11T12:18:37.923671Z
SG,0x0011,NA,2020-02-11T12:18:53.548733Z,2020-02-11T12:18:59.048764Z
AC,0x0011,0x003D,2020-02-11T12:19:59.799169Z,2020-02-11T12:20:02.049105Z
R,0x0011,NA,2020-02-11T12:20:22.299230Z,2020-02-11T12:20:33.924329Z
W,0x0011,NA,2020-02-11T12:21:00.799479Z,2020-02-11T12:21:08.549462Z
AC,0x0011,0x0006,2020-02-11T12:21:28.924542Z,2020-02-11T12:21:29.424649Z
W,0x0011,NA,2020-02-11T12:21:37.549617Z,2020-02-11T12:21:42.549711Z
W,0x0011,NA,2020-02-11T12:22:23.425223Z,2020-02-11T12:22:26.424953Z
AC,0x0012,0x0030,2020-02-11T11:54:41.666304Z,2020-02-11T11:54:43.416156Z
W,0x0012,NA,2020-02-11T11:54:56.416044Z,2020-02-11T11:54:57.166093Z
SG,0x0012,NA,2020-02-11T11:54:58.666100Z,2020-02-11T11:55:01.541041Z
SG,0x0012,NA,2020-02-11T11:55:10.791121Z,2020-02-11T11:55:13.291107Z
R,0x0012,NA,2020-02-11T11:55:23.791247Z,2020-02-11T11:55:37.416251Z
R,0x0012,NA,2020-02-11T11:55:40.291351Z,2020-02-11T11:55:49.916396Z
AC,0x0012,0x0010,2020-02-11T11:56:01.416497Z,2020-02-11T11:56:02.541484Z
AC,0x0012,0x0001,2020-02-11T11:56:04.291481Z,2020-02-11T11:56:05.666419Z
TB,0x0012,NA,2020-02-11T11:56:32.666905Z,2020-02-11T11:56:39.541570Z
TB,0x0012,NA,2020-02-11T11:56:47.791657Z,2020-02-11T11:57:17.916833Z
R,0x0012,NA,2020-02-11T11:57:45.292026Z,2020-02-11T11:58:03.167124Z
R,0x0012,NA,2020-02-11T11:58:54.917392Z,2020-02-11T11:59:32.792609Z
R,0x0012,NA,2020-02-11T11:59:41.667636Z,2020-02-11T12:00:09.292704Z
R,0x0012,NA,2020-02-11T12:00:29.917862Z,2020-02-11T12:00:45.668219Z
W,0x0012,NA,2020-02-11T12:01:37.543203Z,2020-02-11T12:01:38.668248Z
W,0x0012,NA,2020-02-11T12:01:42.543219Z,2020-02-11T12:01:43.918282Z
W,0x0012,NA,2020-02-11T12:01:47.543233Z,2020-02-11T12:01:50.668316Z
AC,0x0012,0x000B,2020-02-11T12:02:12.168438Z,2020-02-11T12:02:13.293440Z
R,0x0012,NA,2020-02-11T12:03:08.418722Z,2020-02-11T12:03:17.918787Z
SG,0x0012,NA,2020-02-11T12:03:30.168850Z,2020-02-11T12:03:43.043908Z
SG,0x0012,NA,2020-02-11T12:03:48.918889Z,2020-02-11T12:03:52.293967Z
R,0x0012,NA,2020-02-11T12:04:58.294319Z,2020-02-11T12:05:08.669361Z
AC,0x0012,0x0026,2020-02-11T12:05:11.544328Z,2020-02-11T12:05:12.169331Z
R,0x0012,NA,2020-02-11T12:05:41.669782Z,2020-02-11T12:05:59.169920Z
R,0x0012,NA,2020-02-11T12:06:14.419725Z,2020-02-11T12:06:20.794749Z
R,0x0012,NA,2020-02-11T12:06:31.919805Z,2020-02-11T12:06:45.044909Z
SG,0x0012,NA,2020-02-11T12:06:59.794963Z,2020-02-11T12:07:05.044923Z
SG,0x0012,NA,2020-02-11T12:07:09.794959Z,2020-02-11T12:07:11.419963Z
TB,0x0012,NA,2020-02-11T12:07:25.170036Z,2020-02-11T12:07:43.420111Z
AC,0x0012,0x0043,2020-02-11T12:07:50.420220Z,2020-02-11T12:07:51.170237Z
